NAME,POP,DENSITY,SURFACE_AREA,DATE_CODE,DATE_DESC,state,county,PERIOD_CODE,PERIOD_DESC,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,RBIRTH,RDEATH,RNATURALCHG,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG
"Barbour County, Alabama",29462,33.29001932,885.01,-6,7/1/2004 to 6/30/2005,1,5,-6,7/1/2004 to 6/30/2005,313,284,29,,,-253,,10.6239,9.6395,0.9843,,,-8.5873
"Barbour County, Alabama",29466,33.29453904,885.01,-5,7/1/2005 to 6/30/2006,1,5,-5,7/1/2005 to 6/30/2006,369,301,68,,,-250,,12.5229,10.2152,2.3077,,,-8.4844
"Barbour County, Alabama",29564,33.40527226,885.01,-4,7/1/2006 to 6/30/2007,1,5,-4,7/1/2006 to 6/30/2007,363,299,64,,,-149,,12.2784,10.1137,2.1648,,,-5.0399
"Barbour County, Alabama",29736,33.59962034,885.01,-3,7/1/2007 to 6/30/2008,1,5,-3,7/1/2007 to 6/30/2008,418,281,137,,,-155,,14.057,9.4498,4.6072,,,-5.2125
"Barbour County, Alabama",29866,33.74651134,885.01,-2,7/1/2008 to 6/30/2009,1,5,-2,7/1/2008 to 6/30/2009,415,248,167,,,-33,,13.8954,8.3038,5.5916,,,-1.1049
"Barbour County, Alabama",29796,33.66741619,885.01,-1,7/1/2009 to 6/30/2010,1,5,-1,7/1/2009 to 6/30/2010,361,290,71,,,-137,,12.1157,9.7329,2.3829,,,-4.5979
"Bibb County, Alabama",19856,31.89923851,622.46,0,4/1/2000 to 6/30/2000,1,7,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Bibb County, Alabama",20866,33.52183273,622.46,-9,7/1/2001 to 6/30/2002,1,7,-9,7/1/2001 to 6/30/2002,272,193,79,,,910,,13.0356,9.2495,3.7861,,,43.6116
"Bibb County, Alabama",20906,33.58609389,622.46,-8,7/1/2002 to 6/30/2003,1,7,-8,7/1/2002 to 6/30/2003,296,214,82,,,-24,,14.1586,10.2363,3.9223,,,-1.148
"Bibb County, Alabama",20975,33.69694438,622.46,-7,7/1/2003 to 6/30/2004,1,7,-7,7/1/2003 to 6/30/2004,247,221,26,,,62,,11.7759,10.5364,1.2396,,,2.9559
"Bibb County, Alabama",21133,33.95077595,622.46,-6,7/1/2004 to 6/30/2005,1,7,-6,7/1/2004 to 6/30/2005,275,235,40,,,141,,13.0128,11.12,1.8928,,,6.672
"Bibb County, Alabama",21304,34.2254924,622.46,-5,7/1/2005 to 6/30/2006,1,7,-5,7/1/2005 to 6/30/2006,251,219,32,,,159,,11.7818,10.2798,1.5021,,,7.4634
"Bibb County, Alabama",21211,34.07608521,622.46,-4,7/1/2006 to 6/30/2007,1,7,-4,7/1/2006 to 6/30/2007,268,232,36,,,-114,,12.635,10.9377,1.6972,,,-5.3746
"Bibb County, Alabama",21410,34.39578447,622.46,-3,7/1/2007 to 6/30/2008,1,7,-3,7/1/2007 to 6/30/2008,271,214,57,,,144,,12.6576,9.9953,2.6623,,,6.7258
"Bibb County, Alabama",21530,34.58856794,622.46,-2,7/1/2008 to 6/30/2009,1,7,-2,7/1/2008 to 6/30/2009,264,203,61,,,61,,12.262,9.4287,2.8333,,,2.8333
"Bibb County, Alabama",21576,34.66246827,622.46,-1,7/1/2009 to 6/30/2010,1,7,-1,7/1/2009 to 6/30/2010,254,228,26,,,22,,11.7723,10.5673,1.205,,,1.0197
"Blount County, Alabama",50982,79.0626987,644.83,0,4/1/2000 to 6/30/2000,1,9,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Blount County, Alabama",51961,80.58092831,644.83,-9,7/1/2001 to 6/30/2002,1,9,-9,7/1/2001 to 6/30/2002,687,481,206,,,659,,13.2215,9.2569,3.9645,,,12.6826
"Blount County, Alabama",52753,81.809159,644.83,-8,7/1/2002 to 6/30/2003,1,9,-8,7/1/2002 to 6/30/2003,677,510,167,,,666,,12.8334,9.6677,3.1657,,,12.6249
"Blount County, Alabama",53739,83.33824419,644.83,-7,7/1/2003 to 6/30/2004,1,9,-7,7/1/2003 to 6/30/2004,661,556,105,,,926,,12.3002,10.3463,1.9539,,,17.2314
"Blount County, Alabama",54471,84.4734271,644.83,-6,7/1/2004 to 6/30/2005,1,9,-6,7/1/2004 to 6/30/2005,689,514,175,,,617,,12.6489,9.4362,3.2127,,,11.3271
"Blount County, Alabama",55041,85.35738102,644.83,-5,7/1/2005 to 6/30/2006,1,9,-5,7/1/2005 to 6/30/2006,685,541,144,,,482,,12.4453,9.829,2.6162,,,8.7571
"Blount County, Alabama",55983,86.81823116,644.83,-4,7/1/2006 to 6/30/2007,1,9,-4,7/1/2006 to 6/30/2007,675,546,129,,,850,,12.0572,9.753,2.3043,,,15.1832
"Blount County, Alabama",56863,88.18293194,644.83,-3,7/1/2007 to 6/30/2008,1,9,-3,7/1/2007 to 6/30/2008,698,509,189,,,693,,12.2751,8.9513,3.3238,,,12.1872
"Blount County, Alabama",57797,89.63137571,644.83,-2,7/1/2008 to 6/30/2009,1,9,-2,7/1/2008 to 6/30/2009,740,542,198,,,732,,12.8034,9.3776,3.4258,,,12.665
"Blount County, Alabama",58197,90.25169424,644.83,-1,7/1/2009 to 6/30/2010,1,9,-1,7/1/2009 to 6/30/2010,651,576,75,,,323,,11.1861,9.8974,1.2887,,,5.5501
"Bullock County, Alabama",11603,18.6300798,622.81,0,4/1/2000 to 6/30/2000,1,11,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Bullock County, Alabama",11353,18.22867327,622.81,-9,7/1/2001 to 6/30/2002,1,11,-9,7/1/2001 to 6/30/2002,167,137,30,,,-254,,14.7098,12.0673,2.6425,,,-22.3729
"Bullock County, Alabama",11241,18.04884315,622.81,-8,7/1/2002 to 6/30/2003,1,11,-8,7/1/2002 to 6/30/2003,147,147,0,,,-104,,13.0771,13.0771,0,,,-9.2518
"Bullock County, Alabama",11287,18.12270195,622.81,-7,7/1/2003 to 6/30/2004,1,11,-7,7/1/2003 to 6/30/2004,140,129,11,,,46,,12.4037,11.4291,0.9746,,,4.0755
"Bullock County, Alabama",11011,17.67954914,622.81,-6,7/1/2004 to 6/30/2005,1,11,-6,7/1/2004 to 6/30/2005,144,129,15,,,-279,,13.0778,11.7156,1.3623,,,-25.3383
"Bullock County, Alabama",10952,17.5848172,622.81,-5,7/1/2005 to 6/30/2006,1,11,-5,7/1/2005 to 6/30/2006,165,134,31,,,-82,,15.0657,12.2352,2.8305,,,-7.4872
"Bullock County, Alabama",10710,17.19625568,622.81,-4,7/1/2006 to 6/30/2007,1,11,-4,7/1/2006 to 6/30/2007,205,124,81,,,-322,,19.141,11.578,7.563,,,-30.0654
"Bullock County, Alabama",10940,17.56554969,622.81,-3,7/1/2007 to 6/30/2008,1,11,-3,7/1/2007 to 6/30/2008,199,157,42,,,188,,18.1901,14.351,3.8391,,,17.1846
"Bullock County, Alabama",10878,17.46600087,622.81,-2,7/1/2008 to 6/30/2009,1,11,-2,7/1/2008 to 6/30/2009,184,130,54,,,-119,,16.9149,11.9507,4.9641,,,-10.9395
"Bullock County, Alabama",10913,17.52219778,622.81,-1,7/1/2009 to 6/30/2010,1,11,-1,7/1/2009 to 6/30/2010,172,82,90,,,-59,,15.761,7.514,8.247,,,-5.4064
"Butler County, Alabama",21394,27.53977653,776.84,0,4/1/2000 to 6/30/2000,1,13,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Butler County, Alabama",20997,27.02873179,776.84,-9,7/1/2001 to 6/30/2002,1,13,-9,7/1/2001 to 6/30/2002,293,260,33,,,-296,,13.9544,12.3827,1.5717,,,-14.0973
"Butler County, Alabama",20570,26.47906905,776.84,-8,7/1/2002 to 6/30/2003,1,13,-8,7/1/2002 to 6/30/2003,264,322,-58,,,-351,,12.8342,15.6539,-2.8196,,,-17.0637
"Butler County, Alabama",20507,26.39797127,776.84,-7,7/1/2003 to 6/30/2004,1,13,-7,7/1/2003 to 6/30/2004,270,291,-21,,,-24,,13.1662,14.1903,-1.024,,,-1.1703
"Butler County, Alabama",20448,26.32202255,776.84,-6,7/1/2004 to 6/30/2005,1,13,-6,7/1/2004 to 6/30/2005,274,293,-19,,,-19,,13.3998,14.329,-0.9292,,,-0.9292
"Butler County, Alabama",20310,26.1443798,776.84,-5,7/1/2005 to 6/30/2006,1,13,-5,7/1/2005 to 6/30/2006,244,292,-48,,,-70,,12.0138,14.3772,-2.3634,,,-3.4466
"Butler County, Alabama",20204,26.00792956,776.84,-4,7/1/2006 to 6/30/2007,1,13,-4,7/1/2006 to 6/30/2007,281,285,-4,,,-88,,13.9081,14.1061,-0.198,,,-4.3556
"Butler County, Alabama",20206,26.01050409,776.84,-3,7/1/2007 to 6/30/2008,1,13,-3,7/1/2007 to 6/30/2008,291,252,39,,,-34,,14.4017,12.4715,1.9301,,,-1.6827
"Butler County, Alabama",20176,25.9718861,776.84,-2,7/1/2008 to 6/30/2009,1,13,-2,7/1/2008 to 6/30/2009,316,248,68,,,-96,,15.6622,12.2918,3.3703,,,-4.7581
"Butler County, Alabama",20013,25.76206169,776.84,-1,7/1/2009 to 6/30/2010,1,13,-1,7/1/2009 to 6/30/2010,274,276,-2,,,-165,,13.6911,13.791,-0.0999,,,-8.2446
"Calhoun County, Alabama",111882,184.6633766,605.87,0,4/1/2000 to 6/30/2000,1,15,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Calhoun County, Alabama",110671,182.664598,605.87,-9,7/1/2001 to 6/30/2002,1,15,-9,7/1/2001 to 6/30/2002,1561,1388,173,,,-382,,14.1049,12.5417,1.5632,,,-3.4517
"Calhoun County, Alabama",110532,182.4351759,605.87,-8,7/1/2002 to 6/30/2003,1,15,-8,7/1/2002 to 6/30/2003,1492,1321,171,,,-221,,13.4984,11.9513,1.5471,,,-1.9994
"Calhoun County, Alabama",111088,183.3528645,605.87,-7,7/1/2003 to 6/30/2004,1,15,-7,7/1/2003 to 6/30/2004,1413,1212,201,,,455,,12.7196,10.9103,1.8094,,,4.0959
"Calhoun County, Alabama",111300,183.7027745,605.87,-6,7/1/2004 to 6/30/2005,1,15,-6,7/1/2004 to 6/30/2005,1521,1311,210,,,119,,13.6658,11.779,1.8868,,,1.0692
"Calhoun County, Alabama",111760,184.4620133,605.87,-5,7/1/2005 to 6/30/2006,1,15,-5,7/1/2005 to 6/30/2006,1514,1349,165,,,405,,13.5469,12.0705,1.4764,,,3.6238
"Calhoun County, Alabama",112127,185.0677538,605.87,-4,7/1/2006 to 6/30/2007,1,15,-4,7/1/2006 to 6/30/2007,1490,1385,105,,,350,,13.2885,12.3521,0.9364,,,3.1215
"Calhoun County, Alabama",112484,185.6569891,605.87,-3,7/1/2007 to 6/30/2008,1,15,-3,7/1/2007 to 6/30/2008,1525,1289,236,,,136,,13.5575,11.4594,2.0981,,,1.2091
"Calhoun County, Alabama",113060,186.6076881,605.87,-2,7/1/2008 to 6/30/2009,1,15,-2,7/1/2008 to 6/30/2009,1565,1319,246,,,343,,13.8422,11.6664,2.1758,,,3.0338
"Calhoun County, Alabama",113646,187.5748923,605.87,-1,7/1/2009 to 6/30/2010,1,15,-1,7/1/2009 to 6/30/2010,1484,1331,153,,,450,,13.0581,11.7118,1.3463,,,3.9597
"Chambers County, Alabama",36600,61.35175003,596.56,0,4/1/2000 to 6/30/2000,1,17,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Chambers County, Alabama",36242,60.75164275,596.56,-9,7/1/2001 to 6/30/2002,1,17,-9,7/1/2001 to 6/30/2002,460,508,-48,,,-228,,12.6925,14.0169,-1.3244,,,-6.291
"Chambers County, Alabama",35921,60.21355773,596.56,-8,7/1/2002 to 6/30/2003,1,17,-8,7/1/2002 to 6/30/2003,429,467,-38,,,-253,,11.9429,13.0008,-1.0579,,,-7.0432
"Chambers County, Alabama",35618,59.7056457,596.56,-7,7/1/2003 to 6/30/2004,1,17,-7,7/1/2003 to 6/30/2004,446,460,-14,,,-258,,12.5218,12.9148,-0.3931,,,-7.2435
"Chambers County, Alabama",35373,59.29495776,596.56,-6,7/1/2004 to 6/30/2005,1,17,-6,7/1/2004 to 6/30/2005,436,450,-14,,,-196,,12.3258,12.7216,-0.3958,,,-5.5409
"Chambers County, Alabama",35163,58.94293952,596.56,-5,7/1/2005 to 6/30/2006,1,17,-5,7/1/2005 to 6/30/2006,415,478,-63,,,-112,,11.8022,13.5938,-1.7917,,,-3.1852
"Chambers County, Alabama",34811,58.3528899,596.56,-4,7/1/2006 to 6/30/2007,1,17,-4,7/1/2006 to 6/30/2007,395,484,-89,,,-238,,11.347,13.9037,-2.5567,,,-6.8369
"Chambers County, Alabama",34718,58.19699611,596.56,-3,7/1/2007 to 6/30/2008,1,17,-3,7/1/2007 to 6/30/2008,398,437,-39,,,-50,,11.4638,12.5871,-1.1233,,,-1.4402
"Chambers County, Alabama",34439,57.72931474,596.56,-2,7/1/2008 to 6/30/2009,1,17,-2,7/1/2008 to 6/30/2009,422,471,-49,,,-234,,12.2535,13.6764,-1.4228,,,-6.7946
"Chambers County, Alabama",34258,57.42590854,596.56,-1,7/1/2009 to 6/30/2010,1,17,-1,7/1/2009 to 6/30/2010,421,452,-31,,,-145,,12.2891,13.194,-0.9049,,,-4.2326
"Cherokee County, Alabama",23909,43.19384024,553.528,0,4/1/2000 to 6/30/2000,1,19,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Cherokee County, Alabama",23987,43.33475452,553.528,-9,7/1/2001 to 6/30/2002,1,19,-9,7/1/2001 to 6/30/2002,286,238,48,,,1,,11.9231,9.922,2.0011,,,0.0417
"Cherokee County, Alabama",24058,43.46302265,553.528,-8,7/1/2002 to 6/30/2003,1,19,-8,7/1/2002 to 6/30/2003,268,292,-24,,,113,,11.1397,12.1373,-0.9976,,,4.697
"Cherokee County, Alabama",24086,43.51360726,553.528,-7,7/1/2003 to 6/30/2004,1,19,-7,7/1/2003 to 6/30/2004,262,276,-14,,,65,,10.8777,11.4589,-0.5813,,,2.6987
"Cherokee County, Alabama",24213,43.74304462,553.528,-6,7/1/2004 to 6/30/2005,1,19,-6,7/1/2004 to 6/30/2005,267,303,-36,,,189,,11.0271,12.5139,-1.4868,,,7.8057
"Cherokee County, Alabama",24191,43.70329956,553.528,-5,7/1/2005 to 6/30/2006,1,19,-5,7/1/2005 to 6/30/2006,253,271,-18,,,19,,10.4584,11.2025,-0.7441,,,0.7854
"Cherokee County, Alabama",24454,44.17843361,553.528,-4,7/1/2006 to 6/30/2007,1,19,-4,7/1/2006 to 6/30/2007,262,265,-3,,,284,,10.714,10.8367,-0.1227,,,11.6136
"Cherokee County, Alabama",24396,44.0736512,553.528,-3,7/1/2007 to 6/30/2008,1,19,-3,7/1/2007 to 6/30/2008,252,300,-48,,,-7,,10.3296,12.2971,-1.9675,,,-0.2869
"Cherokee County, Alabama",24332,43.95802922,553.528,-2,7/1/2008 to 6/30/2009,1,19,-2,7/1/2008 to 6/30/2009,249,290,-41,,,-22,,10.2334,11.9185,-1.685,,,-0.9042
"Cherokee County, Alabama",24391,44.06461823,553.528,-1,7/1/2009 to 6/30/2010,1,19,-1,7/1/2009 to 6/30/2010,248,279,-31,,,90,,10.1677,11.4386,-1.271,,,3.6899
"Chilton County, Alabama",39604,57.16100166,692.85,0,4/1/2000 to 6/30/2000,1,21,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Chilton County, Alabama",40140,57.93461788,692.85,-9,7/1/2001 to 6/30/2002,1,21,-9,7/1/2001 to 6/30/2002,556,377,179,,,108,,13.8515,9.3921,4.4594,,,2.6906
"Chilton County, Alabama",40576,58.56390272,692.85,-8,7/1/2002 to 6/30/2003,1,21,-8,7/1/2002 to 6/30/2003,505,408,97,,,371,,12.4458,10.0552,2.3906,,,9.1433
"Chilton County, Alabama",40913,59.05029949,692.85,-7,7/1/2003 to 6/30/2004,1,21,-7,7/1/2003 to 6/30/2004,554,437,117,,,256,,13.5409,10.6812,2.8597,,,6.2572
"Chilton County, Alabama",41297,59.60453201,692.85,-6,7/1/2004 to 6/30/2005,1,21,-6,7/1/2004 to 6/30/2005,530,456,74,,,355,,12.8339,11.042,1.7919,,,8.5963
"Chilton County, Alabama",41640,60.09958866,692.85,-5,7/1/2005 to 6/30/2006,1,21,-5,7/1/2005 to 6/30/2006,558,465,93,,,292,,13.4006,11.1671,2.2334,,,7.0125
"Chilton County, Alabama",41946,60.54124269,692.85,-4,7/1/2006 to 6/30/2007,1,21,-4,7/1/2006 to 6/30/2007,537,442,95,,,244,,12.8022,10.5374,2.2648,,,5.817
"Chilton County, Alabama",42471,61.29898246,692.85,-3,7/1/2007 to 6/30/2008,1,21,-3,7/1/2007 to 6/30/2008,565,478,87,,,439,,13.3032,11.2547,2.0485,,,10.3365
"Chilton County, Alabama",42789,61.75795627,692.85,-2,7/1/2008 to 6/30/2009,1,21,-2,7/1/2008 to 6/30/2009,602,408,194,,,128,,14.069,9.5352,4.5339,,,2.9914
"Chilton County, Alabama",42988,62.04517572,692.85,-1,7/1/2009 to 6/30/2010,1,21,-1,7/1/2009 to 6/30/2010,575,397,178,,,16,,13.3758,9.2351,4.1407,,,0.3722
"Choctaw County, Alabama",15953,17.46417507,913.47,0,4/1/2000 to 6/30/2000,1,23,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Choctaw County, Alabama",15680,17.16531468,913.47,-9,7/1/2001 to 6/30/2002,1,23,-9,7/1/2001 to 6/30/2002,195,163,32,,,-218,,12.4362,10.3954,2.0408,,,-13.9031
"Choctaw County, Alabama",15371,16.82704413,913.47,-8,7/1/2002 to 6/30/2003,1,23,-8,7/1/2002 to 6/30/2003,204,184,20,,,-316,,13.2717,11.9706,1.3012,,,-20.5582
"Choctaw County, Alabama",15201,16.64094059,913.47,-7,7/1/2003 to 6/30/2004,1,23,-7,7/1/2003 to 6/30/2004,193,168,25,,,-182,,12.6965,11.0519,1.6446,,,-11.9729
"Choctaw County, Alabama",14925,16.33879602,913.47,-6,7/1/2004 to 6/30/2005,1,23,-6,7/1/2004 to 6/30/2005,166,175,-9,,,-251,,11.1223,11.7253,-0.603,,,-16.8174
"Choctaw County, Alabama",14537,15.91404206,913.47,-5,7/1/2005 to 6/30/2006,1,23,-5,7/1/2005 to 6/30/2006,181,184,-3,,,-373,,12.451,12.6574,-0.2064,,,-25.6587
"Choctaw County, Alabama",14420,15.78595904,913.47,-4,7/1/2006 to 6/30/2007,1,23,-4,7/1/2006 to 6/30/2007,169,160,9,,,-119,,11.7198,11.0957,0.6241,,,-8.2524
"Choctaw County, Alabama",14214,15.56044533,913.47,-3,7/1/2007 to 6/30/2008,1,23,-3,7/1/2007 to 6/30/2008,172,181,-9,,,-199,,12.1007,12.7339,-0.6332,,,-14.0003
"Choctaw County, Alabama",14116,15.45316212,913.47,-2,7/1/2008 to 6/30/2009,1,23,-2,7/1/2008 to 6/30/2009,167,162,5,,,-103,,11.8305,11.4763,0.3542,,,-7.2967
"Choctaw County, Alabama",13983,15.30756347,913.47,-1,7/1/2009 to 6/30/2010,1,23,-1,7/1/2009 to 6/30/2010,152,172,-20,,,-122,,10.8703,12.3007,-1.4303,,,-8.7249
"Clarke County, Alabama",27870,22.50448152,1238.42,0,4/1/2000 to 6/30/2000,1,25,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Clarke County, Alabama",27601,22.28726926,1238.42,-9,7/1/2001 to 6/30/2002,1,25,-9,7/1/2001 to 6/30/2002,432,295,137,,,-309,,15.6516,10.688,4.9636,,,-11.1952
"Clarke County, Alabama",27248,22.00222865,1238.42,-8,7/1/2002 to 6/30/2003,1,25,-8,7/1/2002 to 6/30/2003,363,305,58,,,-392,,13.3221,11.1935,2.1286,,,-14.3864
"Clarke County, Alabama",27067,21.85607468,1238.42,-7,7/1/2003 to 6/30/2004,1,25,-7,7/1/2003 to 6/30/2004,351,257,94,,,-253,,12.9678,9.495,3.4729,,,-9.3472
"Clarke County, Alabama",26930,21.74544985,1238.42,-6,7/1/2004 to 6/30/2005,1,25,-6,7/1/2004 to 6/30/2005,351,292,59,,,-167,,13.0338,10.8429,2.1909,,,-6.2013
"Clarke County, Alabama",26728,21.58233879,1238.42,-5,7/1/2005 to 6/30/2006,1,25,-5,7/1/2005 to 6/30/2006,349,268,81,,,-258,,13.0575,10.0269,3.0305,,,-9.6528
"Clarke County, Alabama",26715,21.57184154,1238.42,-4,7/1/2006 to 6/30/2007,1,25,-4,7/1/2006 to 6/30/2007,316,302,14,,,-3,,11.8286,11.3045,0.5241,,,-0.1123
"Clarke County, Alabama",26416,21.33040487,1238.42,-3,7/1/2007 to 6/30/2008,1,25,-3,7/1/2007 to 6/30/2008,314,269,45,,,-348,,11.8867,10.1832,1.7035,,,-13.1738
"Clarke County, Alabama",26277,21.21816508,1238.42,-2,7/1/2008 to 6/30/2009,1,25,-2,7/1/2008 to 6/30/2009,330,283,47,,,-188,,12.5585,10.7699,1.7886,,,-7.1545
"Clarke County, Alabama",26044,21.03002212,1238.42,-1,7/1/2009 to 6/30/2010,1,25,-1,7/1/2009 to 6/30/2010,297,278,19,,,-254,,11.4038,10.6742,0.7295,,,-9.7527
"Clay County, Alabama",14240,23.57772038,603.96,0,4/1/2000 to 6/30/2000,1,27,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Clay County, Alabama",14230,23.56116299,603.96,-9,7/1/2001 to 6/30/2002,1,27,-9,7/1/2001 to 6/30/2002,190,169,21,,,-15,,13.3521,11.8763,1.4758,,,-1.0541
"Clay County, Alabama",14145,23.42042519,603.96,-8,7/1/2002 to 6/30/2003,1,27,-8,7/1/2002 to 6/30/2003,164,170,-6,,,-67,,11.5942,12.0184,-0.4242,,,-4.7367
"Clay County, Alabama",14045,23.25485131,603.96,-7,7/1/2003 to 6/30/2004,1,27,-7,7/1/2003 to 6/30/2004,130,172,-42,,,-46,,9.256,12.2464,-2.9904,,,-3.2752
"Clay County, Alabama",13913,23.03629379,603.96,-6,7/1/2004 to 6/30/2005,1,27,-6,7/1/2004 to 6/30/2005,159,192,-33,,,-84,,11.4282,13.8,-2.3719,,,-6.0375
"Clay County, Alabama",13823,22.8872773,603.96,-5,7/1/2005 to 6/30/2006,1,27,-5,7/1/2005 to 6/30/2006,125,173,-48,,,-29,,9.0429,12.5154,-3.4725,,,-2.098
"Clay County, Alabama",13755,22.77468707,603.96,-4,7/1/2006 to 6/30/2007,1,27,-4,7/1/2006 to 6/30/2007,167,174,-7,,,-49,,12.141,12.6499,-0.5089,,,-3.5623
